ball_receipt.outcome.id,ball_receipt.outcome.name,ball_recovery.recovery_failure,block.deflection,carry.end_location,clearance.aerial_won,counterpress,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,dribble.overrun,duel.outcome.id,duel.outcome.name,duel.type.id,duel.type.name,duration,foul_committed.card.id,foul_committed.card.name,foul_committed.offensive,foul_won.defensive,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.end_location,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.type.id,goalkeeper.type.name,id,index,interception.outcome.id,interception.outcome.name,location,minute,pass.aerial_won,pass.angle,pass.assisted_shot_id,pass.backheel,pass.body_part.id,pass.body_part.name,pass.cross,pass.cut_back,pass.deflected,pass.end_location,pass.goal_assist,pass.height.id,pass.height.name,pass.length,pass.outcome.id,pass.outcome.name,pass.recipient.id,pass.recipient.name,pass.shot_assist,pass.switch,pass.type.id,pass.type.name,period,play_pattern.id,play_pattern.name,player.id,player.name,position.id,position.name,possession,possession_team.id,possession_team.name,related_events,second,shot.aerial_won,shot.body_part.id,shot.body_part.name,shot.end_location,shot.first_time,shot.freeze_frame,shot.key_pass_id,shot.open_goal,shot.outcome.id,shot.outcome.name,shot.statsbomb_xg,shot.technique.id,shot.technique.name,shot.type.id,shot.type.name,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,tactics.formation,tactics.lineup,team.id,team.name,timestamp,type.id,type.name,under_pressure,50_50.outcome.id,50_50.outcome.name,ball_recovery.offensive,foul_committed.advantage,foul_committed.penalty,foul_won.advantage,miscontrol.aerial_won,bad_behaviour.card.id,bad_behaviour.card.name,block.offensive,foul_committed.type.id,foul_committed.type.name,shot.one_on_one,foul_won.penalty,pass.technique.id,pass.technique.name,pass.through_ball,injury_stoppage.in_chain,shot.redirect,pass.miscommunication,shot.deflected,block.save_block,shot.follows_dribble
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d0bf3ace-752c-4cf1-94fb-69b813f2d4a7,47.0,,,"[54.0, 77.0]",0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,From Kick Off,5481.0,Mathew Leckie,12.0,Right Midfield,2.0,784.0,Peru,['1f631e55-d653-4c2c-9f33-91ec9ee6d232'],40.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:00:40.027,6.0,Block,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,414887a4-7935-499d-bea7-b0ae660c0c42,95.0,,,"[109.0, 5.0]",1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5494.0,Robbie Kruse,16.0,Left Midfield,4.0,792.0,Australia,['6f4bd4b4-4626-4c5b-bf57-477b4ba3eca8'],19.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:01:19.467,6.0,Block,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0d7224f3-b311-4405-bd16-adbc8ddda1ca,130.0,,,"[81.0, 78.0]",2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5481.0,Mathew Leckie,12.0,Right Midfield,8.0,792.0,Australia,['a221d557-b6fa-423b-b252-7fafa5c36cd0'],13.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:02:13.147,6.0,Block,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3088057a-0972-4900-aafe-e77c4f9cb078,141.0,,,"[64.0, 74.0]",2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5478.0,Trent Sainsbury,3.0,Right Center Back,10.0,784.0,Peru,['0c899ace-8cbd-4f64-be8c-f62899c6c7ba'],33.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:02:33.857,6.0,Block,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a45c96c-71ea-4103-abf2-a9d4c6053b6e,248.0,,,"[6.0, 26.0]",4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,From Free Kick,5738.0,Anderson Santamaría Bardales,5.0,Left Center Back,12.0,792.0,Australia,['b0612942-9337-4e51-9ebc-6963ce1bb09a'],15.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:04:15.507,6.0,Block,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00d27b55-07a5-4bfe-8892-6806ac59c2a8,398.0,,,"[49.0, 8.0]",7.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5525.0,Édison Michael Flores Peralta,16.0,Left Midfield,20.0,792.0,Australia,['d4c48f35-e069-441a-b561-292142f83954'],31.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:07:31.507,6.0,Block,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,c0ace1a2-9fc3-4515-8ee5-384187569792,562.0,,,"[89.0, 72.0]",11.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5489.0,Mile Jedinak,13.0,Right Center Midfield,27.0,792.0,Australia,['12f89ace-02d4-4d96-88ef-51241adf8dee'],20.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:11:20.707,6.0,Block,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000851e2-e0e5-42f5-8d24-60a05d585bbd,576.0,,,"[21.0, 37.0]",11.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,3632.0,André Martín Carrillo Díaz,12.0,Right Midfield,27.0,792.0,Australia,['f1de802d-b961-45d5-a36d-8b6d897088df'],27.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:11:27.787,6.0,Block,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0a7a87d1-4f55-41bc-ae8e-813a2bdfd760,730.0,,,"[8.0, 47.0]",14.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5530.0,Christian Guillermo Martín Ramos Garagay,3.0,Right Center Back,30.0,792.0,Australia,,33.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:14:33.507,6.0,Block,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3197f3d6-50a1-4705-b8d1-9c60ee1fdc71,758.0,,,"[52.0, 77.0]",15.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5482.0,Josh Risdon,2.0,Right Back,32.0,784.0,Peru,['264e0db4-b90e-49f3-96c5-7d43903029bc'],42.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:15:42.567,6.0,Block,,,,,,,,,,,,,,,,,,,,,,,,
