ball_receipt.outcome.id,ball_receipt.outcome.name,ball_recovery.recovery_failure,block.deflection,carry.end_location,clearance.aerial_won,counterpress,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,dribble.overrun,duel.outcome.id,duel.outcome.name,duel.type.id,duel.type.name,duration,foul_committed.card.id,foul_committed.card.name,foul_committed.offensive,foul_won.defensive,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.end_location,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.type.id,goalkeeper.type.name,id,index,interception.outcome.id,interception.outcome.name,location,minute,pass.aerial_won,pass.angle,pass.assisted_shot_id,pass.backheel,pass.body_part.id,pass.body_part.name,pass.cross,pass.cut_back,pass.deflected,pass.end_location,pass.goal_assist,pass.height.id,pass.height.name,pass.length,pass.outcome.id,pass.outcome.name,pass.recipient.id,pass.recipient.name,pass.shot_assist,pass.switch,pass.type.id,pass.type.name,period,play_pattern.id,play_pattern.name,player.id,player.name,position.id,position.name,possession,possession_team.id,possession_team.name,related_events,second,shot.aerial_won,shot.body_part.id,shot.body_part.name,shot.end_location,shot.first_time,shot.freeze_frame,shot.key_pass_id,shot.open_goal,shot.outcome.id,shot.outcome.name,shot.statsbomb_xg,shot.technique.id,shot.technique.name,shot.type.id,shot.type.name,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,tactics.formation,tactics.lineup,team.id,team.name,timestamp,type.id,type.name,under_pressure,50_50.outcome.id,50_50.outcome.name,ball_recovery.offensive,foul_committed.advantage,foul_committed.penalty,foul_won.advantage,miscontrol.aerial_won,bad_behaviour.card.id,bad_behaviour.card.name,block.offensive,foul_committed.type.id,foul_committed.type.name,shot.one_on_one,foul_won.penalty,pass.technique.id,pass.technique.name,pass.through_ball,injury_stoppage.in_chain,shot.redirect,pass.miscommunication,shot.deflected,block.save_block,shot.follows_dribble
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50907d65-7790-4890-9df0-ed0846ffe5a6,320.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,,,,,17.0,784.0,Peru,,38.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:06:38.040,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b6c3ece6-6fb1-4c22-a025-293df66fbb1a,805.0,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,,,,,35.0,792.0,Australia,,47.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:16:47.200,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8cdc0f80-34fe-41c1-91da-2c1a80afa21e,833.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,,,,,37.0,792.0,Australia,,33.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:18:33.720,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efac3824-0c0f-4b78-8e09-52838802d74e,954.0,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,,,,,42.0,792.0,Australia,,42.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:21:42.160,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13650219-abe3-4477-abe4-6af2d6827166,1010.0,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,,,,,46.0,784.0,Peru,,45.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:22:45.420,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0a5b6e86-6d3d-4ad2-b6e3-1bc55eb0751c,1477.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,,,,,69.0,792.0,Australia,,53.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:35:53.562,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9dd29981-3265-4a6c-a7c4-f15dff91a702,2090.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,91.0,792.0,Australia,,15.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:05:15.720,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ff2b997-4777-4b62-8f2b-7a654612f340,2169.0,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,96.0,784.0,Peru,,42.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:07:42.267,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6f41bac4-69ba-4bae-8120-fa948e9b0a28,2198.0,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,98.0,792.0,Australia,,10.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:08:10.400,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9585b5cc-afa9-42b4-8098-27ebf467c0a9,2511.0,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,116.0,784.0,Peru,,32.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:19:32.680,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4bce79bc-b2d2-420d-897f-9c4bae00a265,2754.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,129.0,792.0,Australia,,29.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:25:29.359,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d9fb04fb-5131-4737-b2ac-0c66c23a0107,3077.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,148.0,792.0,Australia,['d80b608a-c53f-4413-89f4-2981795a6bc9'],37.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:35:37.079,5.0,Camera On,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64f215d3-b524-4b3a-9320-0b3972750cb1,3340.0,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,159.0,784.0,Peru,,29.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:42:29.347,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b3b82d86-966c-4863-9534-21b572fd552f,239.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,,,,,18.0,775.0,Nigeria,,41.0,,,,,,,,,,,,,,,,,,,,,,775.0,Nigeria,00:07:41.443,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b3663fea-27bc-4e8b-82e3-5192b9132e0f,288.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,,,,,24.0,775.0,Nigeria,,11.0,,,,,,,,,,,,,,,,,,,,,,775.0,Nigeria,00:09:11.980,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82e2001b-fe25-4683-9ce3-63c07de4acf3,496.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,,,,,36.0,793.0,Iceland,,43.0,,,,,,,,,,,,,,,,,,,,,,793.0,Iceland,00:14:43.563,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fc49f098-ea7b-4f0f-8131-24e8805e565c,779.0,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,,,,,50.0,775.0,Nigeria,,32.0,,,,,,,,,,,,,,,,,,,,,,775.0,Nigeria,00:22:32.970,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881155cb-54ef-40ce-9f87-a1c8e116139f,1259.0,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,,,,,77.0,775.0,Nigeria,,8.0,,,,,,,,,,,,,,,,,,,,,,775.0,Nigeria,00:36:08.443,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b0c786b5-6756-4b6a-abb6-e887826effcf,1439.0,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,,,,,85.0,775.0,Nigeria,,55.0,,,,,,,,,,,,,,,,,,,,,,775.0,Nigeria,00:41:55.523,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dde7c2fc-6c2b-4aa2-8747-4256a994e08d,1544.0,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,94.0,793.0,Iceland,,31.0,,,,,,,,,,,,,,,,,,,,,,793.0,Iceland,00:00:31.227,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5cedaf47-e73f-4a37-8a6f-591af7ecd59e,1546.0,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,95.0,793.0,Iceland,,40.0,,,,,,,,,,,,,,,,,,,,,,793.0,Iceland,00:00:40.480,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629b4f94-25a7-495a-9fe5-02e1ee50b5bc,1693.0,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,102.0,793.0,Iceland,,31.0,,,,,,,,,,,,,,,,,,,,,,793.0,Iceland,00:08:31.240,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14a28eb6-ea50-4b78-b3fa-762cec9fdd45,2067.0,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,118.0,775.0,Nigeria,,56.0,,,,,,,,,,,,,,,,,,,,,,775.0,Nigeria,00:17:56.920,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96abdd65-f5ab-473c-84fd-4b3bf179fc11,2126.0,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,120.0,793.0,Iceland,,39.0,,,,,,,,,,,,,,,,,,,,,,793.0,Iceland,00:19:39.839,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8d02e5f3-7b0a-4dd9-84a1-696b44b8956e,2160.0,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,122.0,793.0,Iceland,,32.0,,,,,,,,,,,,,,,,,,,,,,793.0,Iceland,00:20:32.560,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37582f3d-1a91-485b-9a9d-7bea8793dd83,2358.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,130.0,775.0,Nigeria,,3.0,,,,,,,,,,,,,,,,,,,,,,775.0,Nigeria,00:25:03.160,5.0,Camera On,,,,,,,,,,,,,,,,,,,,,,,,
