ball_receipt.outcome.id,ball_receipt.outcome.name,ball_recovery.recovery_failure,block.deflection,carry.end_location,clearance.aerial_won,counterpress,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,dribble.overrun,duel.outcome.id,duel.outcome.name,duel.type.id,duel.type.name,duration,foul_committed.card.id,foul_committed.card.name,foul_committed.offensive,foul_won.defensive,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.end_location,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.type.id,goalkeeper.type.name,id,index,interception.outcome.id,interception.outcome.name,location,minute,pass.aerial_won,pass.angle,pass.assisted_shot_id,pass.backheel,pass.body_part.id,pass.body_part.name,pass.cross,pass.cut_back,pass.deflected,pass.end_location,pass.goal_assist,pass.height.id,pass.height.name,pass.length,pass.outcome.id,pass.outcome.name,pass.recipient.id,pass.recipient.name,pass.shot_assist,pass.switch,pass.type.id,pass.type.name,period,play_pattern.id,play_pattern.name,player.id,player.name,position.id,position.name,possession,possession_team.id,possession_team.name,related_events,second,shot.aerial_won,shot.body_part.id,shot.body_part.name,shot.end_location,shot.first_time,shot.freeze_frame,shot.key_pass_id,shot.open_goal,shot.outcome.id,shot.outcome.name,shot.statsbomb_xg,shot.technique.id,shot.technique.name,shot.type.id,shot.type.name,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,tactics.formation,tactics.lineup,team.id,team.name,timestamp,type.id,type.name,under_pressure,50_50.outcome.id,50_50.outcome.name,ball_recovery.offensive,foul_committed.advantage,foul_committed.penalty,foul_won.advantage,miscontrol.aerial_won,bad_behaviour.card.id,bad_behaviour.card.name,block.offensive,foul_committed.type.id,foul_committed.type.name,shot.one_on_one,foul_won.penalty,pass.technique.id,pass.technique.name,pass.through_ball,injury_stoppage.in_chain,shot.redirect,pass.miscommunication,shot.deflected,block.save_block,shot.follows_dribble
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201fcb4-be84-4790-bd40-1fef24c2044a,371.0,,,"[27.0, 7.0]",7.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5525.0,Édison Michael Flores Peralta,16.0,Left Midfield,19.0,784.0,Peru,"['6cc3a4f3-87fe-41a7-90c7-ba8b299e4f3d', '9fb3ade1-cb05-4bc7-ae64-97a15cfc33d2']",17.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:07:17.787,3.0,Dispossessed,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d930fdd9-9051-4e43-95fb-5457e7418469,391.0,,,"[78.0, 56.0]",7.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,3281.0,Aaron Mooy,15.0,Left Center Midfield,20.0,792.0,Australia,['c3e50d86-ca3b-426a-b36e-b712c825c249'],27.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:07:27.188,3.0,Dispossessed,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a2051a3-3d2f-4f71-b967-ff42bfe4b234,552.0,,,"[87.0, 76.0]",11.0,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,From Goal Kick,5481.0,Mathew Leckie,12.0,Right Midfield,26.0,792.0,Australia,"['121ed0c8-8e2e-4fa8-a98c-cca0133b12ae', '22af7526-91c9-4221-a2b9-98a6ac39a663']",1.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:11:01.440,3.0,Dispossessed,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031131ca-8d1b-4991-8f18-edcf4983250d,789.0,,,"[9.0, 69.0]",16.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5478.0,Trent Sainsbury,3.0,Right Center Back,34.0,784.0,Peru,"['32f18a8b-b0f0-4682-be92-9e5d9dfb6748', '7014da29-aa7f-46ce-974f-3927c06a0652']",24.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:16:24.160,3.0,Dispossessed,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80ebb3ab-74ad-474b-ab2a-8e42cf006e09,810.0,,,"[56.0, 6.0]",16.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5479.0,Aziz Eraltay Behich,6.0,Left Back,35.0,792.0,Australia,"['2f79e2ee-3000-4e19-a836-bb7bc2aed505', '6d4d92c8-2883-481f-b400-206ea6a02c6e']",52.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:16:52.667,3.0,Dispossessed,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ccb6109e-c978-4b63-a79a-533aacd6bbe0,860.0,,,"[88.0, 78.0]",19.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5482.0,Josh Risdon,2.0,Right Back,38.0,792.0,Australia,['ac13b56e-a0d2-437a-a703-e8c35d3db2de'],0.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:19:00.547,3.0,Dispossessed,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498461b0-4378-4b94-a78a-f8c42f5a811f,866.0,,,"[103.0, 73.0]",19.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5481.0,Mathew Leckie,12.0,Right Midfield,39.0,792.0,Australia,"['76ef5de2-8e2d-4e65-9fcd-cc4ce6758961', 'fda2930f-3d92-444d-b227-07d453330384']",15.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:19:15.787,3.0,Dispossessed,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fc7c0f06-b6be-4c41-8604-13eb20a3822c,959.0,,,"[102.0, 62.0]",21.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5481.0,Mathew Leckie,12.0,Right Midfield,42.0,792.0,Australia,"['416188bf-7c70-46da-8982-c6e17a2c4b04', 'd48c776b-8ce7-44da-b7eb-78c45e6fdd97']",46.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:21:46.947,3.0,Dispossessed,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16e103a4-1059-4951-8a46-521220b9eee4,964.0,,,"[108.0, 75.0]",21.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5481.0,Mathew Leckie,12.0,Right Midfield,42.0,792.0,Australia,"['76945074-d69a-43c9-aaac-dfd4a3ebc79b', '802d0bee-4673-43a0-bb7d-75d1f402a810']",52.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:21:52.907,3.0,Dispossessed,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cbaa4e7a-5fae-4296-8d0e-b2fcef6e03be,991.0,,,"[92.0, 69.0]",22.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5491.0,Tom Rogić,19.0,Center Attacking Midfield,44.0,792.0,Australia,"['8d125cff-bf7d-4ddb-9c4e-9f75f985af5a', '99cc2c04-0ae5-40d7-9d41-2659be821429']",5.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:22:05.347,3.0,Dispossessed,1.0,,,,,,,,,,,,,,,,,,,,,,,
