ball_receipt.outcome.id,ball_receipt.outcome.name,ball_recovery.recovery_failure,block.deflection,carry.end_location,clearance.aerial_won,counterpress,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,dribble.overrun,duel.outcome.id,duel.outcome.name,duel.type.id,duel.type.name,duration,foul_committed.card.id,foul_committed.card.name,foul_committed.offensive,foul_won.defensive,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.end_location,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.type.id,goalkeeper.type.name,id,index,interception.outcome.id,interception.outcome.name,location,minute,pass.aerial_won,pass.angle,pass.assisted_shot_id,pass.backheel,pass.body_part.id,pass.body_part.name,pass.cross,pass.cut_back,pass.deflected,pass.end_location,pass.goal_assist,pass.height.id,pass.height.name,pass.length,pass.outcome.id,pass.outcome.name,pass.recipient.id,pass.recipient.name,pass.shot_assist,pass.switch,pass.type.id,pass.type.name,period,play_pattern.id,play_pattern.name,player.id,player.name,position.id,position.name,possession,possession_team.id,possession_team.name,related_events,second,shot.aerial_won,shot.body_part.id,shot.body_part.name,shot.end_location,shot.first_time,shot.freeze_frame,shot.key_pass_id,shot.open_goal,shot.outcome.id,shot.outcome.name,shot.statsbomb_xg,shot.technique.id,shot.technique.name,shot.type.id,shot.type.name,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,tactics.formation,tactics.lineup,team.id,team.name,timestamp,type.id,type.name,under_pressure,50_50.outcome.id,50_50.outcome.name,ball_recovery.offensive,foul_committed.advantage,foul_committed.penalty,foul_won.advantage,miscontrol.aerial_won,bad_behaviour.card.id,bad_behaviour.card.name,block.offensive,foul_committed.type.id,foul_committed.type.name,shot.one_on_one,foul_won.penalty,pass.technique.id,pass.technique.name,pass.through_ball,injury_stoppage.in_chain,shot.redirect,pass.miscommunication,shot.deflected,block.save_block,shot.follows_dribble
,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,5ce35499-2c13-4b50-bd8c-5df4ed1fd61e,85.0,,,"[106.0, 6.0]",1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5479.0,Aziz Eraltay Behich,6.0,Left Back,4.0,792.0,Australia,['db8ce32c-d870-4fbb-a73c-51f51b61c754'],15.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:01:15.240,14.0,Dribble,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,83642e8f-eb81-4dc0-8abb-1d55d9eda7fd,219.0,,,"[82.0, 23.0]",3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,From Free Kick,5493.0,Tomi Jurić,23.0,Center Forward,12.0,792.0,Australia,['6bbd5d95-2483-4e36-98f2-3f4efc4cb5dc'],44.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:03:44.387,14.0,Dribble,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,4843c5b9-3731-4da5-9ad5-e9ed2914dd40,244.0,,,"[118.0, 63.0]",4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,From Free Kick,5481.0,Mathew Leckie,12.0,Right Midfield,12.0,792.0,Australia,['a66cce6d-8e19-4f58-8b7f-402ffb62cf74'],11.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:04:11.267,14.0,Dribble,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,88c0e2cc-ddc4-443b-ae60-bd8fee2e07ca,879.0,,,"[97.0, 15.0]",19.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5479.0,Aziz Eraltay Behich,6.0,Left Back,39.0,792.0,Australia,"['0998d01b-c026-43db-bcd6-4098d1a042eb', '0b00269b-9e9b-412a-b9fd-21a69ac33063']",25.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:19:25.387,14.0,Dribble,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,01dfd813-8afe-46e3-87e8-42387d093005,1184.0,,,"[72.0, 56.0]",26.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5478.0,Trent Sainsbury,3.0,Right Center Back,54.0,792.0,Australia,"['8d009d48-08d5-445d-9069-3c7c82ca232f', 'ee73159b-b887-4d99-9774-5a0e4a5966af']",33.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:26:33.840,14.0,Dribble,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,6a6ca41e-6d39-478c-8680-4795d2624a61,1203.0,,,"[98.0, 44.0]",26.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5491.0,Tom Rogić,19.0,Center Attacking Midfield,54.0,792.0,Australia,"['3d7a9375-257b-4a11-ad15-39c795054c3c', 'c7c6603d-0543-46b8-8860-ae63153f6597']",46.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:26:46.480,14.0,Dribble,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,e2afe79c-b158-4074-b095-5dc875ca7b46,1207.0,,,"[103.0, 44.0]",26.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5491.0,Tom Rogić,19.0,Center Attacking Midfield,54.0,792.0,Australia,['7e31c68a-320d-41c6-9386-e1ecce8c68d1'],47.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:26:47.640,14.0,Dribble,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,76a66bdd-7cd9-4b6d-8060-0bf2f1c6f0da,1348.0,,,"[91.0, 3.0]",31.0,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,From Goal Kick,5491.0,Tom Rogić,19.0,Center Attacking Midfield,61.0,792.0,Australia,"['0fe039cb-4deb-489a-afd4-6fbb50ba8c6a', 'fb7d5cbb-b2e8-4813-a607-be24cbd6bf2d']",3.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:31:03.227,14.0,Dribble,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,3e88b254-fe9d-4c65-bf16-e0765b6e4f47,1384.0,,,"[40.0, 13.0]",32.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,3632.0,André Martín Carrillo Díaz,12.0,Right Midfield,64.0,784.0,Peru,"['3694e929-c98f-44a6-aa3e-8d9e6b580f9e', '5aecaca3-9736-41fe-a7d7-152bc39f4a0a']",19.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:32:19.560,14.0,Dribble,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,cb29e14d-8764-4e7a-b116-488bed2af73d,1453.0,,,"[73.0, 50.0]",33.0,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,From Goal Kick,5491.0,Tom Rogić,19.0,Center Attacking Midfield,65.0,792.0,Australia,"['ba380752-27d7-462c-8a2c-c6e30e8c11ae', 'd4feefe0-2b17-401a-910e-f637d8da2bf2']",41.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:33:41.840,14.0,Dribble,1.0,,,,,,,,,,,,,,,,,,,,,,,
