ball_receipt.outcome.id,ball_receipt.outcome.name,ball_recovery.recovery_failure,block.deflection,carry.end_location,clearance.aerial_won,counterpress,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,dribble.overrun,duel.outcome.id,duel.outcome.name,duel.type.id,duel.type.name,duration,foul_committed.card.id,foul_committed.card.name,foul_committed.offensive,foul_won.defensive,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.end_location,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.type.id,goalkeeper.type.name,id,index,interception.outcome.id,interception.outcome.name,location,minute,pass.aerial_won,pass.angle,pass.assisted_shot_id,pass.backheel,pass.body_part.id,pass.body_part.name,pass.cross,pass.cut_back,pass.deflected,pass.end_location,pass.goal_assist,pass.height.id,pass.height.name,pass.length,pass.outcome.id,pass.outcome.name,pass.recipient.id,pass.recipient.name,pass.shot_assist,pass.switch,pass.type.id,pass.type.name,period,play_pattern.id,play_pattern.name,player.id,player.name,position.id,position.name,possession,possession_team.id,possession_team.name,related_events,second,shot.aerial_won,shot.body_part.id,shot.body_part.name,shot.end_location,shot.first_time,shot.freeze_frame,shot.key_pass_id,shot.open_goal,shot.outcome.id,shot.outcome.name,shot.statsbomb_xg,shot.technique.id,shot.technique.name,shot.type.id,shot.type.name,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,tactics.formation,tactics.lineup,team.id,team.name,timestamp,type.id,type.name,under_pressure,50_50.outcome.id,50_50.outcome.name,ball_recovery.offensive,foul_committed.advantage,foul_committed.penalty,foul_won.advantage,miscontrol.aerial_won,bad_behaviour.card.id,bad_behaviour.card.name,block.offensive,foul_committed.type.id,foul_committed.type.name,shot.one_on_one,foul_won.penalty,pass.technique.id,pass.technique.name,pass.through_ball,injury_stoppage.in_chain,shot.redirect,pass.miscommunication,shot.deflected,block.save_block,shot.follows_dribble
,,,,,,,,,,,16.0,Success In Play,11.0,Tackle,,,,,,,,,,,,,,,,,db8ce32c-d870-4fbb-a73c-51f51b61c754,86.0,,,"[15.0, 75.0]",1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5521.0,Luis Jan Piers Advíncula Castrillón,2.0,Right Back,4.0,792.0,Australia,['5ce35499-2c13-4b50-bd8c-5df4ed1fd61e'],15.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:01:15.240,4.0,Duel,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,16.0,Success In Play,11.0,Tackle,,,,,,,,,,,,,,,,,6bbd5d95-2483-4e36-98f2-3f4efc4cb5dc,220.0,,,"[39.0, 58.0]",3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,From Free Kick,5519.0,Christian Alberto Cueva Bravo,19.0,Center Attacking Midfield,12.0,792.0,Australia,['83642e8f-eb81-4dc0-8abb-1d55d9eda7fd'],44.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:03:44.387,4.0,Duel,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,13.0,Lost In Play,11.0,Tackle,,,,,,,,,,,,,,,,,9fb3ade1-cb05-4bc7-ae64-97a15cfc33d2,372.0,,,"[94.0, 74.0]",7.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5481.0,Mathew Leckie,12.0,Right Midfield,19.0,784.0,Peru,['2201fcb4-be84-4790-bd40-1fef24c2044a'],17.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:07:17.787,4.0,Duel,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,13.0,Lost In Play,11.0,Tackle,,,,,,,,,,,,,,,,,c3e50d86-ca3b-426a-b36e-b712c825c249,392.0,,,"[43.0, 25.0]",7.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5525.0,Édison Michael Flores Peralta,16.0,Left Midfield,20.0,792.0,Australia,['d930fdd9-9051-4e43-95fb-5457e7418469'],27.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:07:27.188,4.0,Duel,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,14.0,Lost Out,11.0,Tackle,,,,,,,,,,,,,,,,,121ed0c8-8e2e-4fa8-a98c-cca0133b12ae,553.0,,,"[34.0, 5.0]",11.0,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,From Goal Kick,5525.0,Édison Michael Flores Peralta,16.0,Left Midfield,26.0,792.0,Australia,['3a2051a3-3d2f-4f71-b967-ff42bfe4b234'],1.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:11:01.440,4.0,Duel,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,bd365b8c-52cf-46d5-9e51-d4b855520dff,621.0,,,"[45.0, 55.0]",12.0,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,From Goal Kick,5478.0,Trent Sainsbury,3.0,Right Center Back,29.0,784.0,Peru,['72cca3bd-8eab-42d6-99a8-4736bdef2897'],53.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:12:53.027,4.0,Duel,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,4.0,Won,11.0,Tackle,,,,,,,,,,,,,,,,,32f18a8b-b0f0-4682-be92-9e5d9dfb6748,790.0,,,"[112.0, 12.0]",16.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5519.0,Christian Alberto Cueva Bravo,19.0,Center Attacking Midfield,34.0,784.0,Peru,['031131ca-8d1b-4991-8f18-edcf4983250d'],24.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:16:24.160,4.0,Duel,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,16.0,Success In Play,11.0,Tackle,,,,,,,,,,,,,,,,,2f79e2ee-3000-4e19-a836-bb7bc2aed505,811.0,,,"[65.0, 75.0]",16.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,3632.0,André Martín Carrillo Díaz,12.0,Right Midfield,36.0,784.0,Peru,['80ebb3ab-74ad-474b-ab2a-8e42cf006e09'],52.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:16:52.667,4.0,Duel,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,14.0,Lost Out,11.0,Tackle,,,,,,,,,,,,,,,,,ac13b56e-a0d2-437a-a703-e8c35d3db2de,861.0,,,"[33.0, 3.0]",19.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5519.0,Christian Alberto Cueva Bravo,19.0,Center Attacking Midfield,38.0,792.0,Australia,['ccb6109e-c978-4b63-a79a-533aacd6bbe0'],0.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:19:00.547,4.0,Duel,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,4.0,Won,11.0,Tackle,,,,,,,,,,,,,,,,,76ef5de2-8e2d-4e65-9fcd-cc4ce6758961,867.0,,,"[18.0, 8.0]",19.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5525.0,Édison Michael Flores Peralta,16.0,Left Midfield,39.0,792.0,Australia,['498461b0-4378-4b94-a78a-f8c42f5a811f'],15.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:19:15.787,4.0,Duel,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,4.0,Won,11.0,Tackle,,,,,,,,,,,,,,,,,0998d01b-c026-43db-bcd6-4098d1a042eb,880.0,,,"[24.0, 66.0]",19.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5521.0,Luis Jan Piers Advíncula Castrillón,2.0,Right Back,39.0,792.0,Australia,['88c0e2cc-ddc4-443b-ae60-bd8fee2e07ca'],25.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:19:25.387,4.0,Duel,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,13.0,Lost In Play,11.0,Tackle,,,,,,,,,,,,,,,,,d48c776b-8ce7-44da-b7eb-78c45e6fdd97,960.0,,,"[19.0, 19.0]",21.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5738.0,Anderson Santamaría Bardales,5.0,Left Center Back,42.0,792.0,Australia,['fc7c0f06-b6be-4c41-8604-13eb20a3822c'],46.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:21:46.947,4.0,Duel,1.0,,,,,,,,,,,,,,,,,,,,,,,
