ball_receipt.outcome.id,ball_receipt.outcome.name,ball_recovery.recovery_failure,block.deflection,carry.end_location,clearance.aerial_won,counterpress,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,dribble.overrun,duel.outcome.id,duel.outcome.name,duel.type.id,duel.type.name,duration,foul_committed.card.id,foul_committed.card.name,foul_committed.offensive,foul_won.defensive,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.end_location,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.type.id,goalkeeper.type.name,id,index,interception.outcome.id,interception.outcome.name,location,minute,pass.aerial_won,pass.angle,pass.assisted_shot_id,pass.backheel,pass.body_part.id,pass.body_part.name,pass.cross,pass.cut_back,pass.deflected,pass.end_location,pass.goal_assist,pass.height.id,pass.height.name,pass.length,pass.outcome.id,pass.outcome.name,pass.recipient.id,pass.recipient.name,pass.shot_assist,pass.switch,pass.type.id,pass.type.name,period,play_pattern.id,play_pattern.name,player.id,player.name,position.id,position.name,possession,possession_team.id,possession_team.name,related_events,second,shot.aerial_won,shot.body_part.id,shot.body_part.name,shot.end_location,shot.first_time,shot.freeze_frame,shot.key_pass_id,shot.open_goal,shot.outcome.id,shot.outcome.name,shot.statsbomb_xg,shot.technique.id,shot.technique.name,shot.type.id,shot.type.name,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,tactics.formation,tactics.lineup,team.id,team.name,timestamp,type.id,type.name,under_pressure,50_50.outcome.id,50_50.outcome.name,ball_recovery.offensive,foul_committed.advantage,foul_committed.penalty,foul_won.advantage,miscontrol.aerial_won,bad_behaviour.card.id,bad_behaviour.card.name,block.offensive,foul_committed.type.id,foul_committed.type.name,shot.one_on_one,foul_won.penalty,pass.technique.id,pass.technique.name,pass.through_ball,injury_stoppage.in_chain,shot.redirect,pass.miscommunication,shot.deflected,block.save_block,shot.follows_dribble
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,e358f9bc-c43b-48b4-99fc-18f73159bbd3,100.0,,,"[59.0, 63.0]",1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5535.0,José Paolo Guerrero González,23.0,Center Forward,6.0,792.0,Australia,['33ed3e3d-236f-4a8c-8ba6-514120cdc174'],38.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:01:38.000,22.0,Foul Committed,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3005ff6a-7c7a-4fff-ad2b-c9f9f855c288,193.0,,,"[64.0, 5.0]",3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5523.0,Renato Fabrizio Tapia Cortijo,9.0,Right Defensive Midfield,11.0,792.0,Australia,"['390a4c77-b8b1-4f51-87a1-f01838702d01', 'b80c19b6-0f9c-4165-985d-a1a9fa10b25b']",15.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:03:15.240,22.0,Foul Committed,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,,,,7.0,Yellow Card,,,,,,,,,,,,,,2aae239c-88d0-4fe9-a432-1e5eacd6e355,457.0,,,"[53.0, 45.0]",9.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5489.0,Mile Jedinak,13.0,Right Center Midfield,24.0,784.0,Peru,"['2572730c-d934-475b-8a95-2fcce54b97f6', 'fb150d84-fc90-4ef3-9254-00f7cc9b6f5a']",2.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:09:02.387,22.0,Foul Committed,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b844380f-0fc0-49f4-b04b-f9809ee313db,1045.0,,,"[46.0, 56.0]",23.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5481.0,Mathew Leckie,12.0,Right Midfield,46.0,784.0,Peru,['bfd3307f-2cb7-4171-8261-a0b1c51ec688'],15.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:23:15.987,22.0,Foul Committed,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ef12e677-8738-45e2-87a6-bdd55aff9d9c,1281.0,,,"[105.0, 67.0]",29.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5482.0,Josh Risdon,2.0,Right Back,59.0,792.0,Australia,['2405ef36-0ad8-4192-9c90-42c4c997075a'],2.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:29:02.560,22.0,Foul Committed,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0e284509-b15b-4963-9a83-cfa28d36ed17,1513.0,,,"[45.0, 26.0]",36.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5481.0,Mathew Leckie,12.0,Right Midfield,70.0,784.0,Peru,['a80426d6-43c6-466b-81e0-eef24f841c3f'],35.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:36:35.760,22.0,Foul Committed,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fd8828f1-d2fe-4d07-95d0-5dddb4e9c61b,1623.0,,,"[14.0, 14.0]",38.0,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,From Goal Kick,5525.0,Édison Michael Flores Peralta,16.0,Left Midfield,72.0,792.0,Australia,"['35cd379b-5de2-4a71-8ba2-fb79a37904bf', 'cdf6bd1e-2675-47e2-859e-679f7ab3a5e4']",37.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:38:37.840,22.0,Foul Committed,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b4534af2-7c2f-4dc3-9354-c911deab3f3d,1673.0,,,"[17.0, 11.0]",40.0,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,From Goal Kick,5479.0,Aziz Eraltay Behich,6.0,Left Back,74.0,784.0,Peru,['87b7476b-6f9f-4a62-b690-eeb40d5f801b'],57.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:40:57.200,22.0,Foul Committed,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,d56d2de9-b529-4725-babc-064cf5340eeb,1703.0,,,"[86.0, 75.0]",42.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5521.0,Luis Jan Piers Advíncula Castrillón,2.0,Right Back,76.0,792.0,Australia,"['14bb268a-d85f-4a3e-8321-135b00e22f5e', 'd05ad70e-f07a-410d-97d9-f1f250894ed3']",21.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:42:21.160,22.0,Foul Committed,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1.0,,,,,,,,,,7.0,Yellow Card,,,,,,,,,,,,,,211feebf-8ef0-4731-b990-5f45410c1465,1813.0,,,"[66.0, 41.0]",44.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5529.0,Víctor Yoshimar Yotún Flores,11.0,Left Defensive Midfield,78.0,784.0,Peru,['4025b33d-7199-49c8-be0c-1b134ccba06b'],1.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:44:01.680,22.0,Foul Committed,,,,,,,,,,,,,,,,,,,,,,,,
