ball_receipt.outcome.id,ball_receipt.outcome.name,ball_recovery.recovery_failure,block.deflection,carry.end_location,clearance.aerial_won,counterpress,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,dribble.overrun,duel.outcome.id,duel.outcome.name,duel.type.id,duel.type.name,duration,foul_committed.card.id,foul_committed.card.name,foul_committed.offensive,foul_won.defensive,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.end_location,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.type.id,goalkeeper.type.name,id,index,interception.outcome.id,interception.outcome.name,location,minute,pass.aerial_won,pass.angle,pass.assisted_shot_id,pass.backheel,pass.body_part.id,pass.body_part.name,pass.cross,pass.cut_back,pass.deflected,pass.end_location,pass.goal_assist,pass.height.id,pass.height.name,pass.length,pass.outcome.id,pass.outcome.name,pass.recipient.id,pass.recipient.name,pass.shot_assist,pass.switch,pass.type.id,pass.type.name,period,play_pattern.id,play_pattern.name,player.id,player.name,position.id,position.name,possession,possession_team.id,possession_team.name,related_events,second,shot.aerial_won,shot.body_part.id,shot.body_part.name,shot.end_location,shot.first_time,shot.freeze_frame,shot.key_pass_id,shot.open_goal,shot.outcome.id,shot.outcome.name,shot.statsbomb_xg,shot.technique.id,shot.technique.name,shot.type.id,shot.type.name,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,tactics.formation,tactics.lineup,team.id,team.name,timestamp,type.id,type.name,under_pressure,50_50.outcome.id,50_50.outcome.name,ball_recovery.offensive,foul_committed.advantage,foul_committed.penalty,foul_won.advantage,miscontrol.aerial_won,bad_behaviour.card.id,bad_behaviour.card.name,block.offensive,foul_committed.type.id,foul_committed.type.name,shot.one_on_one,foul_won.penalty,pass.technique.id,pass.technique.name,pass.through_ball,injury_stoppage.in_chain,shot.redirect,pass.miscommunication,shot.deflected,block.save_block,shot.follows_dribble
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33ed3e3d-236f-4a8c-8ba6-514120cdc174,101.0,,,"[62.0, 18.0]",1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5489.0,Mile Jedinak,13.0,Right Center Midfield,6.0,792.0,Australia,"['487db9d7-2256-489a-8c8d-97ba16a1d14b', 'e358f9bc-c43b-48b4-99fc-18f73159bbd3']",38.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:01:38.000,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b80c19b6-0f9c-4165-985d-a1a9fa10b25b,194.0,,,"[57.0, 76.0]",3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5491.0,Tom Rogić,19.0,Center Attacking Midfield,11.0,792.0,Australia,"['2ea39033-d756-49af-8201-3eb9aa5397ee', '3005ff6a-7c7a-4fff-ad2b-c9f9f855c288']",15.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:03:15.240,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fb150d84-fc90-4ef3-9254-00f7cc9b6f5a,458.0,,,"[68.0, 36.0]",9.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5519.0,Christian Alberto Cueva Bravo,19.0,Center Attacking Midfield,24.0,784.0,Peru,['2aae239c-88d0-4fe9-a432-1e5eacd6e355'],2.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:09:02.387,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bfd3307f-2cb7-4171-8261-a0b1c51ec688,1046.0,,,"[75.0, 25.0]",23.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5519.0,Christian Alberto Cueva Bravo,19.0,Center Attacking Midfield,46.0,784.0,Peru,"['4c5c33bf-c845-44d6-bbbb-44eaf7fe5478', 'b844380f-0fc0-49f4-b04b-f9809ee313db']",15.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:23:15.987,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2405ef36-0ad8-4192-9c90-42c4c997075a,1282.0,,,"[16.0, 14.0]",29.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5529.0,Víctor Yoshimar Yotún Flores,11.0,Left Defensive Midfield,59.0,792.0,Australia,"['d2bb914a-6f9e-48c9-976d-b9229bf8aa2e', 'ef12e677-8738-45e2-87a6-bdd55aff9d9c']",2.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:29:02.560,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a80426d6-43c6-466b-81e0-eef24f841c3f,1514.0,,,"[76.0, 55.0]",36.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5521.0,Luis Jan Piers Advíncula Castrillón,2.0,Right Back,70.0,784.0,Peru,['0e284509-b15b-4963-9a83-cfa28d36ed17'],35.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:36:35.760,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35cd379b-5de2-4a71-8ba2-fb79a37904bf,1624.0,,,"[107.0, 67.0]",38.0,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,From Goal Kick,5482.0,Josh Risdon,2.0,Right Back,72.0,792.0,Australia,['fd8828f1-d2fe-4d07-95d0-5dddb4e9c61b'],37.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:38:37.840,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87b7476b-6f9f-4a62-b690-eeb40d5f801b,1674.0,,,"[104.0, 70.0]",40.0,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,From Goal Kick,5521.0,Luis Jan Piers Advíncula Castrillón,2.0,Right Back,74.0,784.0,Peru,['b4534af2-7c2f-4dc3-9354-c911deab3f3d'],57.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:40:57.200,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14bb268a-d85f-4a3e-8321-135b00e22f5e,1704.0,,,"[35.0, 6.0]",42.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5494.0,Robbie Kruse,16.0,Left Midfield,76.0,792.0,Australia,['d56d2de9-b529-4725-babc-064cf5340eeb'],21.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:42:21.160,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4025b33d-7199-49c8-be0c-1b134ccba06b,1814.0,,,"[55.0, 40.0]",44.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5481.0,Mathew Leckie,12.0,Right Midfield,78.0,784.0,Peru,['211feebf-8ef0-4731-b990-5f45410c1465'],1.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:44:01.680,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46513dad-f595-4d1f-adc7-321d343cc4f0,2226.0,,,"[96.0, 61.0]",53.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5481.0,Mathew Leckie,12.0,Right Midfield,98.0,792.0,Australia,['1bbe0933-ad77-48d0-8b08-576e92129e5a'],35.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:08:35.040,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3d005e1d-0c2b-4aab-a4da-d361d3330c05,2356.0,,,"[63.0, 78.0]",59.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5521.0,Luis Jan Piers Advíncula Castrillón,2.0,Right Back,109.0,784.0,Peru,"['6cf91312-57f5-4f9b-a957-4b1190a4940a', 'a6a5eb94-7168-4212-8539-28d4948eb47d']",35.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:14:35.920,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,76569f65-8a21-4548-a794-e969111141d8,2478.0,,,"[36.0, 54.0]",63.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5478.0,Trent Sainsbury,3.0,Right Center Back,113.0,784.0,Peru,['773134c8-6308-421a-8dc9-f25968243115'],55.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:18:55.440,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55afc6ae-4438-4446-bad3-f7ea77026ec1,2530.0,,,"[101.0, 75.0]",64.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5481.0,Mathew Leckie,12.0,Right Midfield,117.0,792.0,Australia,['1cdb614d-d85a-4f1a-a578-4111d0d45a2f'],47.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:19:47.920,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcb7e7f8-c9d3-4214-a2a6-4fa718f2d633,2540.0,,,"[32.0, 24.0]",65.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5519.0,Christian Alberto Cueva Bravo,19.0,Center Attacking Midfield,119.0,784.0,Peru,['2ead13b6-82b5-4c37-91f7-62a1b1372603'],34.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:20:34.080,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ab484c7-37a3-42fc-af6c-17f00485a4ec,2569.0,,,"[69.0, 5.0]",66.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,6314.0,Tim Cahill,23.0,Center Forward,121.0,792.0,Australia,['913163eb-057f-4d73-9988-8a8a4d14f0d3'],17.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:21:17.040,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,fded36ee-0d2d-448d-9c09-cb9f817f1ffe,2598.0,,,"[33.0, 4.0]",67.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5479.0,Aziz Eraltay Behich,6.0,Left Back,123.0,784.0,Peru,['d669b187-27fd-4897-9761-985304130fda'],20.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:22:20.280,21.0,Foul Won,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14c72909-8083-4019-a53b-419491d78b54,2678.0,,,"[62.0, 74.0]",68.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,3632.0,André Martín Carrillo Díaz,12.0,Right Midfield,126.0,784.0,Peru,"['31663469-d19c-49d5-bd0e-bf5924cff6fb', '9931c79d-c96e-416c-b105-ccc75807084e']",45.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:23:45.200,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b6cc4a8d-4dd6-4dd3-be32-1ed7b60e53bb,2994.0,,,"[32.0, 22.0]",77.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5526.0,Pedro Jesús Aquino Sánchez,11.0,Left Defensive Midfield,143.0,784.0,Peru,"['0517f7ae-f660-4f6c-8eb4-997de3909a1f', 'a19dc67d-ba84-4a0c-bb09-0284cf74c249']",21.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:32:21.480,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4dda8e8b-032a-4749-bf21-b41e54c046f9,3010.0,,,"[21.0, 6.0]",78.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,From Throw In,5479.0,Aziz Eraltay Behich,6.0,Left Back,145.0,792.0,Australia,['3b659bbc-4a44-4c32-83c7-616dba0fc784'],33.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:33:33.720,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99a96f00-314f-43a4-b61d-f4b5f2c67c60,3159.0,,,"[93.0, 34.0]",81.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,From Throw In,5483.0,Daniel Arzani,16.0,Left Midfield,150.0,792.0,Australia,['8c523fef-8f0b-4eba-b2ab-c1f88793586f'],58.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:36:58.040,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f3176082-47e3-4c35-b72e-244ed1506a7c,3339.0,,,"[68.0, 19.0]",87.0,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,From Keeper,5519.0,Christian Alberto Cueva Bravo,16.0,Left Midfield,158.0,784.0,Peru,"['5f5d1419-4dd5-4a72-ac0f-06f9a554f800', 'bd1eba46-15ff-4d66-82fb-b27a49032d28']",4.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:42:04.800,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dd84ef15-737a-4b64-9b44-fb7c2e67e09b,3349.0,,,"[79.0, 14.0]",87.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5525.0,Édison Michael Flores Peralta,19.0,Center Attacking Midfield,159.0,784.0,Peru,['df5fcac2-cb64-425e-9a7d-aa4cac9b30bb'],34.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:42:34.800,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0d31ad08-31b7-4073-b3ba-31651aa15d16,3514.0,,,"[14.0, 48.0]",91.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,From Throw In,5521.0,Luis Jan Piers Advíncula Castrillón,2.0,Right Back,173.0,792.0,Australia,['ba72cd85-1b30-40e1-a374-ebde949c3dc4'],6.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:46:06.000,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,f30fe573-33bb-4465-9bb7-b7f3d5b5d483,72.0,,,"[95.0, 40.0]",1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5505.0,Kári Árnason,3.0,Right Center Back,4.0,793.0,Iceland,['05bef1ed-43e3-4205-b872-f456972d3928'],15.0,,,,,,,,,,,,,,,,,,,,,,793.0,Iceland,00:01:15.710,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1c413eb0-37a0-4f6e-854e-7902c0d275c0,347.0,,,"[65.0, 37.0]",10.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5466.0,Oghenekaro Etebo,15.0,Left Center Midfield,27.0,775.0,Nigeria,['438b1b26-e5ce-48fe-bd8e-be05c75ef0b7'],46.0,,,,,,,,,,,,,,,,,,,,,,775.0,Nigeria,00:10:46.483,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32ba37f9-5764-45ab-9f08-1c8bf49dd724,495.0,,,"[70.0, 6.0]",14.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,3944.0,Gylfi Þór Sigurðsson,11.0,Left Defensive Midfield,35.0,793.0,Iceland,['e5c2fa3d-3f13-4168-b525-4fbf6d5dfce4'],31.0,,,,,,,,,,,,,,,,,,,,,,793.0,Iceland,00:14:31.883,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e63208f-decd-45e0-9afe-e59d72afabd8,712.0,,,"[33.0, 52.0]",19.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,3944.0,Gylfi Þór Sigurðsson,11.0,Left Defensive Midfield,45.0,793.0,Iceland,"['350fc273-b744-4593-ad32-7bb053750ae4', '565285d1-7759-490c-8251-780cc3b3ba12']",20.0,,,,,,,,,,,,,,,,,,,,,,793.0,Iceland,00:19:20.923,21.0,Foul Won,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f466b802-83e7-426b-bb9f-a9841ed97d96,778.0,,,"[53.0, 2.0]",22.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5473.0,Ahmed Musa,22.0,Right Center Forward,49.0,775.0,Nigeria,['9136d429-0296-47cd-b833-8be8189436f4'],5.0,,,,,,,,,,,,,,,,,,,,,,775.0,Nigeria,00:22:05.563,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,57376c1c-298e-4c37-87d1-b2aeab1f8a6c,837.0,,,"[67.0, 67.0]",23.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,5495.0,Rúrik Gíslason,12.0,Right Midfield,53.0,793.0,Iceland,['a129f28e-ffcb-4dd1-9de9-f9655b51a091'],22.0,,,,,,,,,,,,,,,,,,,,,,793.0,Iceland,00:23:22.123,21.0,Foul Won,1.0,,,,,,,,,,,,,,,,,,,,,,,
