ball_receipt.outcome.id,ball_receipt.outcome.name,ball_recovery.recovery_failure,block.deflection,carry.end_location,clearance.aerial_won,counterpress,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,dribble.overrun,duel.outcome.id,duel.outcome.name,duel.type.id,duel.type.name,duration,foul_committed.card.id,foul_committed.card.name,foul_committed.offensive,foul_won.defensive,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.end_location,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.type.id,goalkeeper.type.name,id,index,interception.outcome.id,interception.outcome.name,location,minute,pass.aerial_won,pass.angle,pass.assisted_shot_id,pass.backheel,pass.body_part.id,pass.body_part.name,pass.cross,pass.cut_back,pass.deflected,pass.end_location,pass.goal_assist,pass.height.id,pass.height.name,pass.length,pass.outcome.id,pass.outcome.name,pass.recipient.id,pass.recipient.name,pass.shot_assist,pass.switch,pass.type.id,pass.type.name,period,play_pattern.id,play_pattern.name,player.id,player.name,position.id,position.name,possession,possession_team.id,possession_team.name,related_events,second,shot.aerial_won,shot.body_part.id,shot.body_part.name,shot.end_location,shot.first_time,shot.freeze_frame,shot.key_pass_id,shot.open_goal,shot.outcome.id,shot.outcome.name,shot.statsbomb_xg,shot.technique.id,shot.technique.name,shot.type.id,shot.type.name,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,tactics.formation,tactics.lineup,team.id,team.name,timestamp,type.id,type.name,under_pressure,50_50.outcome.id,50_50.outcome.name,ball_recovery.offensive,foul_committed.advantage,foul_committed.penalty,foul_won.advantage,miscontrol.aerial_won,bad_behaviour.card.id,bad_behaviour.card.name,block.offensive,foul_committed.type.id,foul_committed.type.name,shot.one_on_one,foul_won.penalty,pass.technique.id,pass.technique.name,pass.through_ball,injury_stoppage.in_chain,shot.redirect,pass.miscommunication,shot.deflected,block.save_block,shot.follows_dribble
,,,,,,,,,,,,,,,,,,,,,,"[2.0, 41.0]",,,44.0,Set,,,32.0,Shot Faced,21d40a7c-9f05-4de5-8189-ec8dc3b70a79,251.0,,,"[3.0, 40.0]",4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,From Free Kick,5528.0,Pedro David Gallese Quiróz,1.0,Goalkeeper,12.0,792.0,Australia,['3b024ca6-0f06-4a3a-b422-34f1355d2fba'],18.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:04:18.200,23.0,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,15.0,Success,,,,,25.0,Collected,60f83868-a99c-4110-ae2c-ac1fdf1103c5,318.0,,,"[3.0, 39.0]",6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,From Keeper,5528.0,Pedro David Gallese Quiróz,1.0,Goalkeeper,16.0,784.0,Peru,['addeb39b-2db6-42a3-98e0-f1b0b8f540e0'],16.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:06:16.320,23.0,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"[5.0, 40.0]",,,44.0,Set,,,32.0,Shot Faced,4a127c7f-9f5d-44fc-9c76-308ee83fb47c,577.0,,,"[5.0, 41.0]",11.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5528.0,Pedro David Gallese Quiróz,1.0,Goalkeeper,27.0,792.0,Australia,['f1de802d-b961-45d5-a36d-8b6d897088df'],28.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:11:28.160,23.0,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,55.0,No Touch,44.0,Set,,,26.0,Goal Conceded,47f8d722-90a6-42a9-872b-23f966ec7ed5,832.0,,,"[2.0, 38.0]",17.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,3240.0,Mathew Ryan,1.0,Goalkeeper,36.0,784.0,Peru,['a83a9857-68a0-4c2c-b7b1-0ea70da109b0'],15.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:17:15.440,23.0,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"[2.0, 40.0]",,,44.0,Set,,,32.0,Shot Faced,8a3d30a8-7223-4906-a938-d8056f198556,921.0,,,"[2.0, 41.0]",20.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5528.0,Pedro David Gallese Quiróz,1.0,Goalkeeper,39.0,792.0,Australia,['dfd5c67f-79f6-4f1c-8729-835b2bda6b48'],1.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:20:01.520,23.0,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,35.0,Both Hands,,15.0,Success,44.0,Set,46.0,Standing,33.0,Shot Saved,07dc48e3-3e29-4307-af7f-48d5a7d6af13,1050.0,,,"[2.0, 40.0]",24.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,3240.0,Mathew Ryan,1.0,Goalkeeper,48.0,792.0,Australia,['06bbee1b-90c7-4f4f-bb16-21bed1cbe592'],8.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:24:08.600,23.0,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.0,Right Foot,,59.0,Touched Out,44.0,Set,45.0,Diving,33.0,Shot Saved,f79ebbf7-7622-4f90-9046-5081339ce935,1210.0,,,"[8.0, 41.0]",26.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,5528.0,Pedro David Gallese Quiróz,1.0,Goalkeeper,54.0,792.0,Australia,['3a774956-8c24-46e5-ac41-4abee7ca24a7'],49.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:26:49.507,23.0,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,15.0,Success,,,,,25.0,Collected,0ace4f5d-3153-4e7f-a00f-470e7a71686b,1212.0,,,"[5.0, 41.0]",27.0,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,From Keeper,5528.0,Pedro David Gallese Quiróz,1.0,Goalkeeper,56.0,784.0,Peru,['70bfd929-e574-43fa-a18f-4456db1f8e05'],51.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:27:51.387,23.0,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"[2.0, 37.0]",,,44.0,Set,,,32.0,Shot Faced,08093438-6a4b-436d-b737-1b8e0dbee45b,1412.0,,,"[2.0, 40.0]",32.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,3240.0,Mathew Ryan,1.0,Goalkeeper,64.0,784.0,Peru,['2dc7d70b-67bd-4be5-88d9-3d1d4731c1ec'],53.0,,,,,,,,,,,,,,,,,,,,,,792.0,Australia,00:32:53.160,23.0,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"[2.0, 39.0]",,,44.0,Set,,,32.0,Shot Faced,43ec12de-0445-4e7f-88b2-beaebd6b9150,1464.0,,,"[2.0, 40.0]",34.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,From Corner,5528.0,Pedro David Gallese Quiróz,1.0,Goalkeeper,66.0,792.0,Australia,['5bbd4634-a0e7-43a7-8397-4bebcdf38edc'],45.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:34:45.160,23.0,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,
