ball_receipt.outcome.id,ball_receipt.outcome.name,ball_recovery.recovery_failure,block.deflection,carry.end_location,clearance.aerial_won,counterpress,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,dribble.overrun,duel.outcome.id,duel.outcome.name,duel.type.id,duel.type.name,duration,foul_committed.card.id,foul_committed.card.name,foul_committed.offensive,foul_won.defensive,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.end_location,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.type.id,goalkeeper.type.name,id,index,interception.outcome.id,interception.outcome.name,location,minute,pass.aerial_won,pass.angle,pass.assisted_shot_id,pass.backheel,pass.body_part.id,pass.body_part.name,pass.cross,pass.cut_back,pass.deflected,pass.end_location,pass.goal_assist,pass.height.id,pass.height.name,pass.length,pass.outcome.id,pass.outcome.name,pass.recipient.id,pass.recipient.name,pass.shot_assist,pass.switch,pass.type.id,pass.type.name,period,play_pattern.id,play_pattern.name,player.id,player.name,position.id,position.name,possession,possession_team.id,possession_team.name,related_events,second,shot.aerial_won,shot.body_part.id,shot.body_part.name,shot.end_location,shot.first_time,shot.freeze_frame,shot.key_pass_id,shot.open_goal,shot.outcome.id,shot.outcome.name,shot.statsbomb_xg,shot.technique.id,shot.technique.name,shot.type.id,shot.type.name,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,tactics.formation,tactics.lineup,team.id,team.name,timestamp,type.id,type.name,under_pressure,50_50.outcome.id,50_50.outcome.name,ball_recovery.offensive,foul_committed.advantage,foul_committed.penalty,foul_won.advantage,miscontrol.aerial_won,bad_behaviour.card.id,bad_behaviour.card.name,block.offensive,foul_committed.type.id,foul_committed.type.name,shot.one_on_one,foul_won.penalty,pass.technique.id,pass.technique.name,pass.through_ball,injury_stoppage.in_chain,shot.redirect,pass.miscommunication,shot.deflected,block.save_block,shot.follows_dribble
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3752fb6a-f2c5-49a9-9044-d35aa41ee4ea,2407.0,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,111.0,792.0,Australia,,25.0,,,,,,,,,,,,,,,,,,,,,,784.0,Peru,00:16:25.760,40.0,Injury Stoppage,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f74a120e-8108-4d7a-ae4f-8cd4cf67f461,1690.0,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,101.0,775.0,Nigeria,,43.0,,,,,,,,,,,,,,,,,,,,,,793.0,Iceland,00:04:43.120,40.0,Injury Stoppage,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8840c595-ae62-4a48-93de-fa48c639907f,1691.0,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,101.0,775.0,Nigeria,,45.0,,,,,,,,,,,,,,,,,,,,,,775.0,Nigeria,00:04:45.067,40.0,Injury Stoppage,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0c735e75-a8ae-4ca3-a5ac-c276025ad70d,3158.0,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,170.0,775.0,Nigeria,,38.0,,,,,,,,,,,,,,,,,,,,,,775.0,Nigeria,00:48:38.200,40.0,Injury Stoppage,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a0eb5c48-6742-489c-ac48-67995a5b84e5,3159.0,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,170.0,775.0,Nigeria,,44.0,,,,,,,,,,,,,,,,,,,,,,793.0,Iceland,00:48:44.307,40.0,Injury Stoppage,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2f44d60d-8b27-4dee-8f32-0dc8f9dbbac3,1109.0,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,,,,,43.0,781.0,Brazil,,58.0,,,,,,,,,,,,,,,,,,,,,,781.0,Brazil,00:24:58.600,40.0,Injury Stoppage,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,30da9766-2b75-404e-81dc-cc31433272bc,1110.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,From Throw In,,,,,43.0,781.0,Brazil,,23.0,,,,,,,,,,,,,,,,,,,,,,786.0,Serbia,00:25:23.960,40.0,Injury Stoppage,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c4618e87-8987-44ae-a506-753b27cedcea,1563.0,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,,,,,72.0,776.0,Denmark,,0.0,,,,,,,,,,,,,,,,,,,,,,785.0,Croatia,00:45:00.880,40.0,Injury Stoppage,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73f48fe7-5328-4356-bc5d-da050d1eeb96,1564.0,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Regular Play,,,,,72.0,776.0,Denmark,,10.0,,,,,,,,,,,,,,,,,,,,,,776.0,Denmark,00:45:10.960,40.0,Injury Stoppage,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116d171-e3f1-44fe-8b55-fbb41ec5b26d,2899.0,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,From Throw In,,,,,146.0,785.0,Croatia,,20.0,,,,,,,,,,,,,,,,,,,,,,776.0,Denmark,00:34:20.492,40.0,Injury Stoppage,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,e52eb01b-5a5e-484f-ad7d-f43ab7df7b05,2900.0,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,From Throw In,,,,,146.0,785.0,Croatia,,27.0,,,,,,,,,,,,,,,,,,,,,,785.0,Croatia,00:34:27.480,40.0,Injury Stoppage,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2d1306d3-221d-4929-81bd-4954417f49da,2957.0,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,,,,,148.0,785.0,Croatia,,55.0,,,,,,,,,,,,,,,,,,,,,,785.0,Croatia,00:36:55.280,40.0,Injury Stoppage,,,,,,,,,,,,,,,,,,,,,,,,
