ball_receipt.outcome.id,ball_receipt.outcome.name,ball_recovery.recovery_failure,block.deflection,carry.end_location,clearance.aerial_won,counterpress,dribble.nutmeg,dribble.outcome.id,dribble.outcome.name,dribble.overrun,duel.outcome.id,duel.outcome.name,duel.type.id,duel.type.name,duration,foul_committed.card.id,foul_committed.card.name,foul_committed.offensive,foul_won.defensive,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.end_location,goalkeeper.outcome.id,goalkeeper.outcome.name,goalkeeper.position.id,goalkeeper.position.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.type.id,goalkeeper.type.name,id,index,interception.outcome.id,interception.outcome.name,location,minute,pass.aerial_won,pass.angle,pass.assisted_shot_id,pass.backheel,pass.body_part.id,pass.body_part.name,pass.cross,pass.cut_back,pass.deflected,pass.end_location,pass.goal_assist,pass.height.id,pass.height.name,pass.length,pass.outcome.id,pass.outcome.name,pass.recipient.id,pass.recipient.name,pass.shot_assist,pass.switch,pass.type.id,pass.type.name,period,play_pattern.id,play_pattern.name,player.id,player.name,position.id,position.name,possession,possession_team.id,possession_team.name,related_events,second,shot.aerial_won,shot.body_part.id,shot.body_part.name,shot.end_location,shot.first_time,shot.freeze_frame,shot.key_pass_id,shot.open_goal,shot.outcome.id,shot.outcome.name,shot.statsbomb_xg,shot.technique.id,shot.technique.name,shot.type.id,shot.type.name,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,tactics.formation,tactics.lineup,team.id,team.name,timestamp,type.id,type.name,under_pressure,50_50.outcome.id,50_50.outcome.name,ball_recovery.offensive,foul_committed.advantage,foul_committed.penalty,foul_won.advantage,miscontrol.aerial_won,bad_behaviour.card.id,bad_behaviour.card.name,block.offensive,foul_committed.type.id,foul_committed.type.name,shot.one_on_one,foul_won.penalty,pass.technique.id,pass.technique.name,pass.through_ball,injury_stoppage.in_chain,shot.redirect,pass.miscommunication,shot.deflected,block.save_block,shot.follows_dribble
,,,,,,,,,,,,,,,6.853,,,,,,,,,,,,,,,,91be0ebd-f3fa-4611-8f07-afa275e0000d,1870.0,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5529.0,Víctor Yoshimar Yotún Flores,11.0,Left Defensive Midfield,81.0,792.0,Australia,,0.0,,,,,,,,,,,,,,,,103.0,Tactical,5526.0,Pedro Jesús Aquino Sánchez,,,784.0,Peru,00:00:00.000,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a8ba1861-c3ed-49b5-8ff3-f16bbd12a25f,2168.0,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5493.0,Tomi Jurić,23.0,Center Forward,95.0,784.0,Peru,,36.0,,,,,,,,,,,,,,,,103.0,Tactical,6314.0,Tim Cahill,,,792.0,Australia,00:07:36.080,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13e592a5-2922-4fa0-a0a4-dacae0e78acf,2320.0,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5494.0,Robbie Kruse,16.0,Left Midfield,105.0,792.0,Australia,,40.0,,,,,,,,,,,,,,,,103.0,Tactical,5483.0,Daniel Arzani,,,792.0,Australia,00:12:40.120,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,df73b0b1-f033-4fff-98d9-3b6913c34eb9,2408.0,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5523.0,Renato Fabrizio Tapia Cortijo,9.0,Right Defensive Midfield,111.0,792.0,Australia,,29.0,,,,,,,,,,,,,,,,102.0,Injury,6315.0,Christopher Paolo César Hurtado Huertas,,,784.0,Peru,00:17:29.347,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bd9c5ca1-9b86-42e1-8721-d25ec0eaf4b5,2778.0,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5491.0,Tom Rogić,19.0,Center Attacking Midfield,129.0,792.0,Australia,,25.0,,,,,,,,,,,,,,,,103.0,Tactical,5490.0,Jackson Irvine,,,792.0,Australia,00:26:25.040,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a1765311-6cc4-4df5-b61a-321507983b19,2995.0,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,3632.0,André Martín Carrillo Díaz,12.0,Right Midfield,143.0,784.0,Peru,,51.0,,,,,,,,,,,,,,,,103.0,Tactical,6313.0,Wilder José Cartagena Mendoza,,,784.0,Peru,00:32:51.680,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,9.853,,,,,,,,,,,,,,,,3a3ed30b-93b2-408b-944f-07c838af1174,1530.0,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,From Goal Kick,5462.0,Brian Oladapo Idowu,16.0,Left Midfield,92.0,775.0,Nigeria,,0.0,,,,,,,,,,,,,,,,103.0,Tactical,5832.0,Tyronne Ebuehi,,,775.0,Nigeria,00:00:00.000,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b4562d32-4185-4406-9952-600a645cfd52,2125.0,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5511.0,Ragnar Sigurðsson,5.0,Left Center Back,119.0,793.0,Iceland,,13.0,,,,,,,,,,,,,,,,103.0,Tactical,5831.0,Sverrir Ingi Ingason,,,793.0,Iceland,00:19:13.880,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216ca510-f33c-489a-b347-83d58f1ff69a,2360.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5829.0,Jón Daði Böðvarsson,24.0,Left Center Forward,130.0,775.0,Nigeria,,15.0,,,,,,,,,,,,,,,,103.0,Tactical,5500.0,Björn Bergmann Sigurðarson,,,793.0,Iceland,00:25:15.880,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05591c6e-e676-4d1c-86c8-fbc6346c4391,2757.0,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,3708.0,Kelechi Promise Iheanacho,24.0,Left Center Forward,150.0,775.0,Nigeria,,3.0,,,,,,,,,,,,,,,,103.0,Tactical,5458.0,Odion Jude Ighalo,,,775.0,Nigeria,00:39:03.200,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a8abe3b5-97a0-4e17-9ab4-6789c0a25bb3,2850.0,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,From Keeper,5515.0,Aron Einar Gunnarsson,9.0,Right Defensive Midfield,156.0,793.0,Iceland,,34.0,,,,,,,,,,,,,,,,103.0,Tactical,5502.0,Ari Freyr Skúlason,,,793.0,Iceland,00:41:34.547,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56f013c6-6272-4ada-98c8-984f2c326ab6,2974.0,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5466.0,Oghenekaro Etebo,15.0,Left Center Midfield,162.0,793.0,Iceland,,40.0,,,,,,,,,,,,,,,,103.0,Tactical,3647.0,Alex Iwobi,,,775.0,Nigeria,00:44:40.120,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e0cf0bf2-55dd-4e5f-85ab-96cc61bb84b3,361.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,From Free Kick,5552.0,Marcelo Vieira da Silva Júnior,6.0,Left Back,20.0,781.0,Brazil,,25.0,,,,,,,,,,,,,,,,102.0,Injury,6320.0,Filipe Luis Kasmirski,,,781.0,Brazil,00:09:25.813,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d9066178-4999-4a1b-b77d-1f7723ab3df0,2734.0,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5542.0,José Paulo Bezzera Maciel Júnior,13.0,Right Center Midfield,124.0,781.0,Brazil,,20.0,,,,,,,,,,,,,,,,103.0,Tactical,3054.0,Fernando Luiz Rosa,,,781.0,Brazil,00:20:20.427,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b21fb9a3-8df0-4c08-99a1-4b15ff52cf7f,3081.0,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5587.0,Adem Ljajić,19.0,Center Attacking Midfield,139.0,781.0,Brazil,,24.0,,,,,,,,,,,,,,,,103.0,Tactical,6318.0,Andrija Živković,,,786.0,Serbia,00:29:24.320,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410dc0f5-ac9d-4620-aa31-f47e7f8fa795,3352.0,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,3501.0,Philippe Coutinho Correia,15.0,Left Center Midfield,146.0,786.0,Serbia,,13.0,,,,,,,,,,,,,,,,103.0,Tactical,5553.0,Renato Soares de Oliveira Augusto,,,781.0,Brazil,00:34:13.680,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,706905da-5d29-4cad-b6f5-ee36d98bc1eb,3438.0,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5591.0,Filip Kostić,21.0,Left Wing,152.0,781.0,Brazil,,25.0,,,,,,,,,,,,,,,,103.0,Tactical,5833.0,Nemanja Radonjić,,,786.0,Serbia,00:36:25.680,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8eea5919-4571-42c2-8fd7-96740d7e9783,3870.0,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,4269.0,Aleksandar Mitrović,23.0,Center Forward,160.0,786.0,Serbia,,55.0,,,,,,,,,,,,,,,,103.0,Tactical,6319.0,Luka Jović,,,786.0,Serbia,00:43:55.587,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691729e6-a0d0-4dff-99d6-0332f3f1b2b4,1601.0,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,From Kick Off,3959.0,Andreas Christensen,13.0,Right Center Midfield,77.0,785.0,Croatia,,2.0,,,,,,,,,,,,,,,,102.0,Injury,5520.0,Lasse Schöne,,,776.0,Denmark,00:00:02.813,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ab7ad19f-a6ef-4e40-9bf9-0eb880b05ed9,2379.0,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5732.0,Andreas Evald Cornelius,23.0,Center Forward,117.0,785.0,Croatia,,35.0,,,,,,,,,,,,,,,,103.0,Tactical,5522.0,Nicolai Jørgensen,,,776.0,Denmark,00:20:35.933,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,e10f1544-299d-43a2-a561-39486969c3f4,2543.0,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5469.0,Marcelo Brozović,10.0,Center Defensive Midfield,128.0,776.0,Denmark,,46.0,,,,,,,,,,,,,,,,103.0,Tactical,5456.0,Mateo Kovačić,,,785.0,Croatia,00:25:46.600,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a76a5b3b-fc71-4eff-9bfa-8241a23831d3,2901.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,From Throw In,5457.0,Ivan Strinić,6.0,Left Back,146.0,785.0,Croatia,,16.0,,,,,,,,,,,,,,,,102.0,Injury,6308.0,Josip Pivarić,,,785.0,Croatia,00:35:16.560,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,f5465b61-7086-455e-9669-0e3336f23765,3405.0,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,From Throw In,5474.0,Ivan Perišić,16.0,Left Midfield,174.0,776.0,Denmark,,22.0,,,,,,,,,,,,,,,,103.0,Tactical,5460.0,Andrej Kramarić,,,785.0,Croatia,00:06:22.104,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d496200d-a4e5-417e-b72f-47d0562e9b5b,3450.0,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,Regular Play,5527.0,Thomas Delaney,15.0,Left Center Midfield,178.0,776.0,Denmark,,40.0,,,,,,,,,,,,,,,,103.0,Tactical,6356.0,Michael Krohn-Dehli,,,776.0,Denmark,00:07:40.630,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2254b2b3-d32f-45bc-83a8-d394376d63c9,3732.0,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,4.0,9.0,From Kick Off,4447.0,Martin Braithwaite Christensen,21.0,Left Wing,193.0,785.0,Croatia,,1.0,,,,,,,,,,,,,,,,103.0,Tactical,5516.0,Pione Sisto Ifolo Emirmija,,,776.0,Denmark,00:00:01.535,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,cc63050e-2ef6-4ad2-a484-49c0c353e549,3862.0,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,From Throw In,5472.0,Mario Mandžukić,23.0,Center Forward,197.0,776.0,Denmark,,43.0,,,,,,,,,,,,,,,,103.0,Tactical,6305.0,Milan Badelj,,,785.0,Croatia,00:02:43.419,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259af5c3-57e9-4ff4-bde2-a375ff867c85,2084.0,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5230.0,Ehsan Hajsafi,6.0,Left Back,86.0,797.0,Iran,,37.0,,,,,,,,,,,,,,,,103.0,Tactical,5720.0,Milad Mohammadi,,,797.0,Iran,00:10:37.740,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc59019b-0168-486b-b2b5-a45677ba1c26,2556.0,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5215.0,Ricardo Andrade Quaresma Bernardo,12.0,Right Midfield,109.0,780.0,Portugal,,57.0,,,,,,,,,,,,,,,,103.0,Tactical,3193.0,Bernardo Mota Veiga de Carvalho e Silva,,,780.0,Portugal,00:23:57.140,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a281bc9-5076-4c5c-81bb-ba930b561d59,2557.0,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5239.0,Alireza Jahanbakhsh,12.0,Right Midfield,109.0,780.0,Portugal,,22.0,,,,,,,,,,,,,,,,,,5240.0,Saman Ghoddos,,,797.0,Iran,00:24:22.580,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdf763f7-623f-462c-8543-ac3ff6ec0e23,2739.0,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5722.0,Saeid Ezatolahi Afagh,10.0,Center Defensive Midfield,116.0,780.0,Portugal,,16.0,,,,,,,,,,,,,,,,103.0,Tactical,5231.0,Karim Ansarifard,,,797.0,Iran,00:30:16.900,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884d60f8-60b2-4dd4-b59e-a28d8cc91c47,2887.0,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,From Throw In,4272.0,João Mário Naval da Costa Eduardo,16.0,Left Midfield,128.0,797.0,Iran,,37.0,,,,,,,,,,,,,,,,103.0,Tactical,3168.0,João Filipe Iria Santos Moutinho,,,780.0,Portugal,00:38:37.833,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ca12d877-f470-494a-bbba-53bb2519c4f5,3117.0,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,From Free Kick,5218.0,André Miguel Valente Silva,22.0,Right Center Forward,138.0,797.0,Iran,,55.0,,,,,,,,,,,,,,,,103.0,Tactical,4367.0,Gonçalo Manuel Ganchinho Guedes,,,780.0,Portugal,00:49:55.300,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703e651f-bd15-4f80-9b1a-9e08c5f7f5e9,1806.0,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5617.0,Sebastian Larsson,13.0,Right Center Midfield,106.0,790.0,Sweden,,37.0,,,,,,,,,,,,,,,,102.0,Injury,5611.0,Gustav Svensson,,,790.0,Sweden,00:11:37.000,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dc599b8f-38ff-4caf-b8cd-f303b79bd023,2020.0,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,5576.0,Jesús Daniel Gallardo Vasconcelos,6.0,Left Back,117.0,794.0,Mexico,,47.0,,,,,,,,,,,,,,,,103.0,Tactical,6317.0,Marco Jhonfai Fabián De La Mora,,,794.0,Mexico,00:19:47.615,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d48ee365-c598-4bec-b734-5adb8854b68b,2063.0,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Regular Play,11098.0,Marcus Berg,22.0,Right Center Forward,120.0,794.0,Mexico,,5.0,,,,,,,,,,,,,,,,102.0,Injury,5615.0,Isaac Kiese Thelin,,,790.0,Sweden,00:22:05.080,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450a1b5f-6624-411b-8454-6a3c86de38ce,2275.0,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,From Throw In,5563.0,José Andrés Guardado Hernández,13.0,Right Center Midfield,130.0,790.0,Sweden,,41.0,,,,,,,,,,,,,,,,103.0,Tactical,5985.0,Jesús Manuel Corona Ruíz,,,794.0,Mexico,00:29:41.093,19.0,Substitution,,,,,,,,,,,,,,,,,,,,,,,,
